,ID,LONG,LAT,threshold,beta
251,geo_105,78.5,230.5,0.99,0.437928274583966
252,geo_106,78.5,234.5,0.9,0.0366424539776265
253,geo_106,78.5,234.5,0.95,0.1562263839409032
254,geo_106,78.5,234.5,0.99,0.4896606311773648
255,geo_107,78.5,238.5,0.9,-0.19389480402930645
256,geo_107,78.5,238.5,0.95,-0.02390153192834124
257,geo_107,78.5,238.5,0.99,0.4077746646725735
258,geo_108,78.5,242.5,0.9,0.3462186476059013
259,geo_108,78.5,242.5,0.95,-0.0031869774340446606
260,geo_108,78.5,242.5,0.99,-0.04842414461855921
261,geo_109,78.5,246.5,0.9,0.19459706570630425
262,geo_109,78.5,246.5,0.95,0.17500754994632217
263,geo_109,78.5,246.5,0.99,-3.3679156071929492
264,geo_110,78.5,250.5,0.9,-0.0902252664532109
265,geo_110,78.5,250.5,0.95,-0.009890618485917053
266,geo_110,78.5,250.5,0.99,0.2026023154020712
267,geo_111,78.5,254.5,0.9,-0.05032367091121971
268,geo_111,78.5,254.5,0.95,0.04812186678477043
269,geo_111,78.5,254.5,0.99,0.2336678604160436
270,geo_112,78.5,258.5,0.9,-0.14939428791444026
271,geo_112,78.5,258.5,0.95,-0.1351853454258074
272,geo_112,78.5,258.5,0.99,-0.15188004238976216
273,geo_113,78.5,266.5,0.9,0.27426680839032724
274,geo_113,78.5,266.5,0.95,0.22161667324510637
275,geo_114,78.5,262.5,0.9,0.18622297273724056
276,geo_114,78.5,262.5,0.95,0.14829923239781345
277,geo_114,78.5,262.5,0.99,0.2404367414965919
278,geo_122,82.5,58.5,0.9,0.02201440329551829
279,geo_122,82.5,58.5,0.95,0.020626982789046157
280,geo_122,82.5,58.5,0.99,0.009844798584391504
281,geo_123,82.5,54.5,0.9,0.022720950210008823
282,geo_123,82.5,54.5,0.95,0.00922656730251465
283,geo_123,82.5,54.5,0.99,-0.005417147359019769
284,geo_124,82.5,62.5,0.9,-0.01319546586675128
285,geo_124,82.5,62.5,0.95,-0.016275888686764883
286,geo_124,82.5,62.5,0.99,-0.033548902808573006
287,geo_125,82.5,66.5,0.9,-0.01441378823944145
288,geo_125,82.5,66.5,0.95,-0.00505409193127852
289,geo_125,82.5,66.5,0.99,-0.02806651492987558
290,geo_126,82.5,70.5,0.9,-0.036987872313659506
291,geo_126,82.5,70.5,0.95,-0.032731336483363155
292,geo_126,82.5,70.5,0.99,-0.05409988407914135
293,geo_127,82.5,74.5,0.9,-0.044804684801757616
294,geo_127,82.5,74.5,0.95,-0.03606344575306167
295,geo_127,82.5,74.5,0.99,-0.030130649379973673
296,geo_128,82.5,78.5,0.9,-0.026864889900127864
297,geo_128,82.5,78.5,0.95,-0.004066422744088223
298,geo_128,82.5,78.5,0.99,0.033614672198981115
299,geo_129,82.5,82.5,0.9,-0.02952308486702808
300,geo_129,82.5,82.5,0.95,-0.01534538412535659
301,geo_129,82.5,82.5,0.99,0.03529256103734672
302,geo_130,82.5,86.5,0.9,-0.01970505537089318
303,geo_130,82.5,86.5,0.95,-0.0181351390932087
304,geo_130,82.5,86.5,0.99,0.0032204245218174915
305,geo_131,82.5,90.5,0.9,-0.013531771032410897
306,geo_131,82.5,90.5,0.95,-0.010029202593021196
307,geo_131,82.5,90.5,0.99,0.009878964011929253
308,geo_132,82.5,94.5,0.9,-0.0305239261814435
309,geo_132,82.5,94.5,0.95,-0.023927338315408872
310,geo_132,82.5,94.5,0.99,-0.024819632901088337
311,geo_133,82.5,98.5,0.9,0.03234867612087302
312,geo_133,82.5,98.5,0.95,0.03222639900608079
313,geo_133,82.5,98.5,0.99,0.033817790717144525
314,geo_134,82.5,102.5,0.9,0.010389033379728761
315,geo_134,82.5,102.5,0.95,0.010805515198062231
316,geo_134,82.5,102.5,0.99,0.01540869870827663
317,geo_135,82.5,106.5,0.9,-0.016331798813121468
318,geo_135,82.5,106.5,0.95,-0.02410682867641608
319,geo_135,82.5,106.5,0.99,-0.05564855700613776
320,geo_136,82.5,110.5,0.9,0.007006015199699555
321,geo_136,82.5,110.5,0.95,-0.004150220163973683
322,geo_136,82.5,110.5,0.99,-0.07144756927157195
323,geo_137,82.5,114.5,0.9,0.3333239555260827
324,geo_137,82.5,114.5,0.95,0.3786282406238669
325,geo_137,82.5,114.5,0.99,0.6560694387937525
326,geo_138,82.5,118.5,0.9,0.2721936316466015
327,geo_138,82.5,118.5,0.95,0.32084795735773114
328,geo_138,82.5,118.5,0.99,0.8582889903997809
329,geo_139,82.5,122.5,0.9,0.25191494907560075
330,geo_139,82.5,122.5,0.95,0.24094739600671572
331,geo_139,82.5,122.5,0.99,0.19771809170091723
332,geo_140,82.5,126.5,0.9,0.05378246268607292
333,geo_140,82.5,126.5,0.95,0.07964513680418628
334,geo_140,82.5,126.5,0.99,0.042807808349040015
335,geo_141,82.5,130.5,0.9,-0.20095954404263644
336,geo_141,82.5,130.5,0.95,-0.17931146639419943
337,geo_141,82.5,130.5,0.99,-0.23840292876517738
338,geo_142,82.5,134.5,0.9,0.00034843444464498045
339,geo_142,82.5,134.5,0.95,0.0028781621009968707
340,geo_142,82.5,134.5,0.99,0.017010715413783323
341,geo_143,82.5,142.5,0.9,0.0017792100376556076
342,geo_143,82.5,142.5,0.95,0.027067962204198572
343,geo_143,82.5,142.5,0.99,0.09987906951406848
344,geo_144,82.5,138.5,0.9,-0.03729943899390788
345,geo_144,82.5,138.5,0.95,-0.04140883864023981
346,geo_144,82.5,138.5,0.99,-0.06165936154271371
347,geo_145,82.5,146.5,0.9,0.04233717934866164
348,geo_145,82.5,146.5,0.95,0.04932144327419627
349,geo_145,82.5,146.5,0.99,0.07072254741265015
350,geo_146,82.5,150.5,0.9,0.04628832234847254
351,geo_146,82.5,150.5,0.95,0.049222602566078806
352,geo_146,82.5,150.5,0.99,0.03390285627903304
353,geo_147,82.5,154.5,0.9,-0.017148662698776553
354,geo_147,82.5,154.5,0.95,0.0004970405371628392
355,geo_147,82.5,154.5,0.99,0.028194239634662277
356,geo_148,82.5,158.5,0.9,-0.008435310288342763
357,geo_148,82.5,158.5,0.95,0.0008416964301997815
358,geo_148,82.5,158.5,0.99,0.009942429607414857
359,geo_149,82.5,162.5,0.9,-0.006187780121574004
360,geo_149,82.5,162.5,0.95,0.005094179520937908
361,geo_149,82.5,162.5,0.99,0.007037737974912056
362,geo_150,82.5,166.5,0.9,-0.030429156194551492
363,geo_150,82.5,166.5,0.95,-0.011343428143156371
364,geo_150,82.5,166.5,0.99,0.001024248306640968
365,geo_151,82.5,170.5,0.9,-0.0016680083821623039
366,geo_151,82.5,170.5,0.95,0.005327464485803138
367,geo_151,82.5,170.5,0.99,0.006967404369645824
368,geo_152,82.5,174.5,0.9,-0.012956201234421968
369,geo_152,82.5,174.5,0.95,-0.010859183115965503
370,geo_152,82.5,174.5,0.99,0.002146173316984676
371,geo_153,82.5,178.5,0.9,0.06460327563612132
372,geo_153,82.5,178.5,0.95,0.06271277111548668
373,geo_153,82.5,178.5,0.99,0.024387670268417108
374,geo_154,82.5,182.5,0.9,0.1197459460860422
375,geo_154,82.5,182.5,0.95,0.11089010263508736
376,geo_154,82.5,182.5,0.99,0.0248130796811242
377,geo_155,82.5,186.5,0.9,0.1445889073879925
378,geo_155,82.5,186.5,0.95,0.14382988772636937
379,geo_155,82.5,186.5,0.99,0.13130547940064402
380,geo_156,82.5,190.5,0.9,0.10633951300752444
381,geo_156,82.5,190.5,0.95,0.11142377863905692
382,geo_156,82.5,190.5,0.99,0.11894609935456343
383,geo_157,82.5,194.5,0.9,0.08260401122141783
384,geo_157,82.5,194.5,0.95,0.09065256194876903
385,geo_157,82.5,194.5,0.99,0.10351134667528604
386,geo_158,82.5,198.5,0.9,0.08694014476158424
387,geo_158,82.5,198.5,0.95,0.0926213107971093
388,geo_158,82.5,198.5,0.99,0.09837592204320263
389,geo_159,82.5,202.5,0.9,0.057262143136611966
390,geo_159,82.5,202.5,0.95,0.047447189812871146
391,geo_159,82.5,202.5,0.99,0.01841876402675207
392,geo_160,82.5,206.5,0.9,0.08197355901803369
393,geo_160,82.5,206.5,0.95,0.09734324756691724
394,geo_160,82.5,206.5,0.99,0.11192725133332633
395,geo_161,82.5,210.5,0.9,0.06854755835498955
396,geo_161,82.5,210.5,0.95,0.08098062964145787
397,geo_161,82.5,210.5,0.99,0.1012182261856722
398,geo_162,82.5,214.5,0.9,0.08479307383647625
399,geo_162,82.5,214.5,0.95,0.10031720363616609
400,geo_162,82.5,214.5,0.99,0.12972568389817035
401,geo_163,82.5,218.5,0.9,0.10681241934409444
402,geo_163,82.5,218.5,0.95,0.12780558681728554
403,geo_163,82.5,218.5,0.99,0.15659395977516957
404,geo_164,82.5,222.5,0.9,0.10946756985862648
405,geo_164,82.5,222.5,0.95,0.13329049021766737
406,geo_164,82.5,222.5,0.99,0.19162521621034428
407,geo_165,82.5,226.5,0.9,0.10921329639137714
408,geo_165,82.5,226.5,0.95,0.1364746892976105
409,geo_165,82.5,226.5,0.99,0.17380766846155468
410,geo_166,82.5,230.5,0.9,0.13857124424155434
411,geo_166,82.5,230.5,0.95,0.15782010696705756
412,geo_166,82.5,230.5,0.99,0.17034245869631975
413,geo_167,82.5,234.5,0.9,0.1645292341665771
414,geo_167,82.5,234.5,0.95,0.17418419187132952
415,geo_167,82.5,234.5,0.99,0.15114105694510666
416,geo_168,82.5,238.5,0.9,0.24905970224043505
417,geo_168,82.5,238.5,0.95,0.2610007381777774
418,geo_168,82.5,238.5,0.99,0.2595946638362762
419,geo_169,82.5,242.5,0.9,0.24572954797864183
420,geo_169,82.5,242.5,0.95,0.30276635035241195
421,geo_169,82.5,242.5,0.99,0.3703740206071755
422,geo_170,82.5,246.5,0.9,0.039562758362909685
423,geo_170,82.5,246.5,0.95,0.08408975796263855
424,geo_170,82.5,246.5,0.99,0.190781492592088
425,geo_171,82.5,250.5,0.9,0.01002621521503429
426,geo_171,82.5,250.5,0.95,0.07031012999854737
427,geo_171,82.5,250.5,0.99,0.15618591203791132
428,geo_172,82.5,254.5,0.9,0.07888701136168356
429,geo_172,82.5,254.5,0.95,0.11704407047470719
430,geo_172,82.5,254.5,0.99,0.19691405762456732
431,geo_173,82.5,258.5,0.9,0.06577440710860892
432,geo_173,82.5,258.5,0.95,0.10445931672725631
433,geo_173,82.5,258.5,0.99,0.128458687110947
434,geo_174,82.5,262.5,0.9,-0.004353394595453837
435,geo_174,82.5,262.5,0.95,0.05937075673784395
436,geo_174,82.5,262.5,0.99,0.19928475028663795
437,geo_175,82.5,266.5,0.9,0.009098479661374453
438,geo_175,82.5,266.5,0.95,0.07415818383410672
439,geo_175,82.5,266.5,0.99,0.13888599087537737
440,geo_176,82.5,270.5,0.9,0.03153598582075187
441,geo_176,82.5,270.5,0.95,0.07676825250943405
442,geo_176,82.5,270.5,0.99,0.10510327503517652
443,geo_177,82.5,274.5,0.9,0.1499347726222124
444,geo_177,82.5,274.5,0.95,0.0390540658627353
445,geo_177,82.5,274.5,0.99,-0.027161273455169554
446,geo_178,82.5,278.5,0.9,0.9536914921024193
447,geo_178,82.5,278.5,0.95,0.6159817593151837
448,geo_178,82.5,278.5,0.99,0.17184622388976467
449,geo_179,82.5,282.5,0.9,0.5429304317971941
450,geo_179,82.5,282.5,0.95,0.5074258127935862
451,geo_179,82.5,282.5,0.99,0.14422207748399998
452,geo_180,82.5,286.5,0.9,0.1961346144305055
453,geo_180,82.5,286.5,0.95,-0.020491631196164484
454,geo_181,82.5,290.5,0.9,-0.5953478006038705
455,geo_181,82.5,290.5,0.95,-0.29916851015506796
456,geo_182,82.5,294.5,0.9,1.8086032180104765
457,geo_182,82.5,294.5,0.95,-2.3089689425078275
458,geo_183,86.5,54.5,0.9,0.04082262026965288
459,geo_183,86.5,54.5,0.95,0.030735138518688317
460,geo_183,86.5,54.5,0.99,-0.09037863833872284
461,geo_184,86.5,58.5,0.9,0.04093990213855571
462,geo_184,86.5,58.5,0.95,0.04190735792613624
463,geo_184,86.5,58.5,0.99,0.0339832357035007
464,geo_185,86.5,62.5,0.9,0.00258677562605345
465,geo_185,86.5,62.5,0.95,0.008519883952851675
466,geo_185,86.5,62.5,0.99,0.028946486931655163
467,geo_186,86.5,66.5,0.9,-0.05104711129032768
468,geo_186,86.5,66.5,0.95,-0.048199276485816164
469,geo_186,86.5,66.5,0.99,-0.02825592713754324
470,geo_187,86.5,70.5,0.9,0.008697819747606316
471,geo_187,86.5,70.5,0.95,0.03367531277745966
472,geo_187,86.5,70.5,0.99,0.07358610785084324
473,geo_188,86.5,74.5,0.9,-0.021624469738507967
474,geo_188,86.5,74.5,0.95,-0.014607830856565652
475,geo_188,86.5,74.5,0.99,-0.0006034030526548551
476,geo_189,86.5,78.5,0.9,0.010161626980642127
477,geo_189,86.5,78.5,0.95,0.01680359282651307
478,geo_189,86.5,78.5,0.99,0.026218768986411484
479,geo_190,86.5,82.5,0.9,-0.009884551654031883
480,geo_190,86.5,82.5,0.95,-0.002527984628286708
481,geo_190,86.5,82.5,0.99,0.03088753783553588
482,geo_191,86.5,90.5,0.9,-0.012344671264154948
483,geo_191,86.5,90.5,0.95,-0.0171680210618609
484,geo_191,86.5,90.5,0.99,-0.03337032139311983
485,geo_192,86.5,86.5,0.9,0.0061582776825135415
486,geo_192,86.5,86.5,0.95,0.012150718512121067
487,geo_192,86.5,86.5,0.99,0.018749207578317884
488,geo_193,86.5,94.5,0.9,0.008691212253998251
489,geo_193,86.5,94.5,0.95,0.02595817553501733
490,geo_193,86.5,94.5,0.99,0.024033784516474706
